Discrete Lottery Optimization Results
Generated: 2025-06-27 22:46:44
Solutions: 113
Parameters: α=0.88, λ=2.25, γ=0.61

 Sol  b11  b12  c21  c22  c31  c32  c33  c34       p1       p2       p3  z1  z2  z3   z4     E[Z]  Violation
   1   -7  -24    6  -21   26    8   23   19 0.500000 0.900000 0.700000  25   7 -22  -26 0.000000   0.000000
   2    5   37    6  -18   37    8  -48  -50 0.500000 0.400000 0.200000  48  19 -29  -31 0.000000   0.000000
   3   48  -21   46  -28   35  -45  -20  -45 0.500000 0.500000 0.200000 129  49 -69  -94 0.000000   0.000000
   4   20    7    7  -43   20    1    1  -43 0.500000 0.600000 0.900000  47  28 -35  -79 0.000000   0.000000
   5   44  -36   10  -45   37   26   25  -46 0.500000 0.400000 0.600000  91  80 -56 -127 0.000000   0.000000
   6   40  -35   27  -21   19   -6   17  -23 0.500000 0.400000 0.200000  86  61 -39  -79 0.000000   0.000000
   7   18  -25   50  -14   10  -48   10  -11 0.500000 0.300000 0.600000  78  20 -29  -50 0.000000   0.000000
   8   -4  -31   47  -49   21    6   33   13 0.500000 0.400000 0.600000  64  49 -47  -67 0.000000   0.000000
   9   18  -24   44  -25   31    2   30   16 0.200000 0.800000 0.800000  93  64 -19  -33 0.000000   0.000000
  10   25  -42   34  -36   44   42  -21  -25 0.500000 0.400000 0.300000 103 101 -99 -103 0.000000   0.000000
