Discrete Lottery Optimization Results
Generated: 2025-06-28 10:07:47
Solutions: 160
Parameters: α=0.88, λ=2.25, γ=0.61

 Sol  b11  b12  c21  c22  c31  c32  c33  c34       p1       p2       p3  z1  z2  z3   z4       E[Z]  Violation
   1   49  -13  -38  -12   42  -26  -34   -4 0.600000 0.200000 0.700000  53 -15 -59  -29 -20.840000   0.000282
   2   28  -44    4  -19    5   28   10  -42 0.300000 0.600000 0.200000  37  60 -53 -105 -52.360000   0.003572
   3  -16  -11   37  -39  -11   16    8   18 0.800000 0.900000 0.900000  10  37 -42  -32   1.960000   0.011980
   4   50  -17  -41  -17   31  -33  -20  -40 0.300000 0.100000 0.300000  40 -24 -54  -74 -52.880000   0.011980
   5   19  -28  -32   19   41   39    7  -31 0.500000 0.900000 0.300000  28  26  -2  -40  -0.400000   0.015355
   6   34  -34   50  -19   35   26  -16   10 0.800000 0.200000 0.900000 119 110 -69  -43  76.160000   0.017192
   7  -10  -43  -29  -41   -3   30    3   -6 0.300000 0.900000 0.800000 -42  -9 -81  -90 -69.570000   0.018107
   8   -4  -37    9  -18  -24    9  -18  -38 0.100000 0.100000 0.600000 -19  14 -73  -93 -71.830000   0.018751
   9   41  -36  -46   -8   36  -20  -17    1 0.600000 0.300000 0.900000  31 -25 -61  -43 -28.600000   0.020214
  10   38  -37   -3   -9  -39   -4  -25   -5 0.500000 0.700000 0.200000  -4  31 -71  -51 -24.250000   0.025966
